img,rank,rating,numReviews,cost,name,type,address,business_id,categories
['www.Musashi Japanese Restaurant.com', '43', '4.0', '170', '13.5', 'Musashi Japanese Restaurant', '10110 Johnston Rd', ' Ste 15', 'gnKjwL_1w79qoiV3IC_xQQ', 'Sushi Bars; Restaurants; Japanese']
["www.Carluccio's Tivoli Gardens.com", '71', '4.0', '40', '24.9', "Carluccio's Tivoli Gardens", '1775 E Tropicana Ave', ' Ste 29', 'PZ-LZzSlhSe9utkQYU8pFg', 'Restaurants; Italian']
["www.J's Fish & Chips.com", '69', '4.5', '12', '25.9', "J's Fish & Chips", '17205 Leslie Street', ' Unit 2', '6l00a9Gkxkcp_y-GPjYBiw', 'Fish & Chips; Restaurants']
['www.Nee House Chinese Restaurant.com', '64', '3.5', '269', '20.0', 'Nee House Chinese Restaurant', '13843 N Tatum Blvd', ' Ste 15', '44YFU284Z3KDEy25QyVoUw', 'Chinese; Restaurants']
['www.Not Your Mother.com', '61', '4.0', '8', '22.3', 'Not Your Mother', '1346 Queen Street', ' Unit 2', 'Kxbn0XLcCgQqmkdIkhuOeQ', 'Desserts; Ice Cream & Frozen Yogurt; Food; Restaurants; Vegan']
['www.Artisan Fine Dining Room.com', '79', '2.0', '3', '26.7', 'Artisan Fine Dining Room', 'Artisan Hotel', ' 1501 W Sahara Ave', 'bJP4l_BGq2CudEu0m-wNjg', 'Restaurants; Pizza; Italian; American (New)']
['www.Mai Thai II.com', '94', '4.0', '108', '23.5', 'Mai Thai II', '7712 Sossamon Ln NW', ' Unit 140', 'L0aSDVHNXCl6sY4cfZQ-5Q', 'Restaurants; Thai']
['www.New Mexican Grill.com', '39', '4.0', '84', '17.3', 'New Mexican Grill', '3140 S Gilbert Rd', ' Ste 3', 'voZnDQs6Hs3YpNcS-9TALg', 'Restaurants; Mexican']
['www.Served.com', '67', '4.5', '664', '22.3', 'Served', '1770 W Horizon Ridge', ' Ste 100', 'jScBTQtdAt-8RshaiBEHgw', 'Ethnic Food; American (New); Burgers; Food; Restaurants; Asian Fusion; Specialty Food; Mexican; Sandwiches; Breakfast & Brunch; Korean']
['www.Little Caesars Pizza.com', '85', '4.0', '3', '11.5', 'Little Caesars Pizza', '2277 10th Line', ' Suite 3', 'jwHtNvHBPafiAwM92jM8yA', 'Restaurants; Pizza']
['www.Howlers Craft Burgers & Beer.com', '97', '3.5', '30', '13.4', 'Howlers Craft Burgers & Beer', '3908 E Franklin Blvd', ' Ste F130', 'T_tnCsUQmqTMEI3XxJAyOA', 'Restaurants; Beer Gardens; Nightlife; Burgers']
['www.Sushi Mocorito.com', '14', '3.0', '9', '15.7', 'Sushi Mocorito', '3415 West Glendale Ave', ' Bldg 25A', 'Rs8Wi4OEjeOX7LVlzsXDOA', 'Restaurants; Mexican; Sushi Bars']
['www.Yummy Yummy Chinese Restaurant.com', '18', '3.0', '188', '29.8', 'Yummy Yummy Chinese Restaurant', '2765 N Scottsdale Rd', ' Ste 105', 'MhnihE0alud0ereVInSt8Q', 'Chinese; Restaurants']
['www.Stage Deli Of Las Vegas.com', '77', '3.5', '28', '14.3', 'Stage Deli Of Las Vegas', '3500 Las Vegas Blvd S', ' Ste E11', 'PWjgwphd2prhtqTPWwLbXw', 'Sandwiches; Restaurants; Delis; Desserts; Food']
["www.Mr G's Pub & Grub.com", '84', '4.0', '27', '28.6', "Mr G's Pub & Grub", '3342 E Sandhill Rd', ' Ste 11', 'iwGhazq9eP51PSerTrMrwg', 'Dive Bars; Food; Bars; Pubs; Restaurants; Nightlife; American (Traditional); Beer; Wine & Spirits']
['www.China Gourmet.com', '8', '3.0', '13', '21.3', 'China Gourmet', '3460 E Southern Ave', ' Ste 109', 'Sd75ucXKoZUM2BEfBHFUOg', 'Chinese; Restaurants']
['www.Sofra Mediterranean Cuisine.com', '12', '3.0', '33', '20.2', 'Sofra Mediterranean Cuisine', '380 Tower Hill Road', ' Units 23-24-25', 'VA232TY-ThR8L5wjuuLZVg', 'Mediterranean; Restaurants; Middle Eastern; Turkish']
['www.Bonjour Bakery & Deli.com', '80', '4.5', '39', '29.8', 'Bonjour Bakery & Deli', '4012 S Rainbow Blvd', ' Ste J', '0G83H_zoum-Q4bWU2olTqQ', 'Restaurants; Food; Delis; Desserts; Bakeries; Coffee & Tea']
['www.Toad N Turtle Pubhouse & Grill.com', '41', '2.5', '24', '29.1', 'Toad N Turtle Pubhouse & Grill', '5155 130th Avenue SE', ' Suite 100', 'z3csSfd-UBMP1Gk6zHY_AA', 'Bars; Pubs; Gastropubs; Nightlife; Restaurants; Canadian (New)']
['www.Pizza Hut.com', '44', '2.0', '14', '17.2', 'Pizza Hut', '2835 N 16th St', ' Ste 103', 'e-9f6vasnWh3z0uOq287Aw', 'Restaurants; Italian; Pizza; Fast Food; Chicken Wings']
['www.Champions Cuisine.com', '99', '3.5', '7', '16.3', 'Champions Cuisine', '8321 Kennedy Road', ' unit 1071', '_72dMXdWbVAgwB-Bxwz-mw', 'Chinese; Restaurants']
['www.Flyjin Cafe.com', '94', '4.5', '17', '11.4', 'Flyjin Cafe', '417 Rue Saint-Pierre', ' Suite 101', 'LF66oShCh30k5NOV6pPJTQ', 'Coffee & Tea; Cafes; Restaurants; Bakeries; Juice Bars & Smoothies; Local Flavor; Food']
["www.Woody's Barbq.com", '57', '3.5', '6', '23.2', "Woody's Barbq", '920 36 Street NE', ' Unit 120', 'TWa07Bllw_jfI2Y2Lry9DQ', 'Sandwiches; Restaurants; Barbeque; Salad']
['www.Golden Flower Cafe.com', '88', '3.5', '31', '19.2', 'Golden Flower Cafe', '1 Spadina Road', ' Suite 11', 'QZ4GFIArBMGolsVi0XHgcA', 'Chinese; Restaurants; Fast Food']
['www.Veltree.com', '58', '4.5', '7', '28.5', 'Veltree', '7945 N Tryon St', ' Unit 110', 'Ye6Bdtw2lq5Y6FeX-p377Q', 'Vegan; Soul Food; Restaurants; Food; Juice Bars & Smoothies']
["www.Marcello's Market & Deli.com", '41', '3.5', '7', '15.2', "Marcello's Market & Deli", '40 King Street W', ' Scotia plaza Food Court', 'i_0rSAui4zaz4ydVaOZ6bQ', 'Food; Grocery; Delis; Buffets; Event Planning & Services; Breakfast & Brunch; Restaurants; Caterers']
['www.PHO KC.com', '91', '4.5', '96', '24.1', 'PHO KC', '18555 N 59th Ave', ' Ste 130', 'hXzoNgpkC86K_Jfg_zMHvA', 'Vietnamese; Restaurants']
['www.Cha Me Cha.com', '69', '3.0', '293', '24.8', 'Cha Me Cha', '8333 Kennedy Road', ' Suite 1078', 'NX1281ugzs2navHAX5X9cQ', 'Bubble Tea; Food; Restaurants; Taiwanese; Coffee & Tea']
['www.Naya Mediterranean Cuisine.com', '5', '4.0', '97', '18.1', 'Naya Mediterranean Cuisine', '8877 N Scottsdale Rd', ' Ste 402', 'zfOum9_rEhaLAqoAV3nYaQ', 'Specialty Food; Food; Bars; Italian; Nightlife; Ethnic Food; Restaurants; Cocktail Bars; Mediterranean']
['www.La Flor De Calabaza.com', '53', '3.0', '90', '27.6', 'La Flor De Calabaza', '705 N 1st St', ' Ste 110', '3-aEgS7X2jrbxA7sA1nARw', 'Breakfast & Brunch; Lounges; Nightlife; Latin American; Mexican; Bars; Restaurants']
['www.Pita Pit.com', '35', '4.0', '34', '14.6', 'Pita Pit', '3816 Sardis Church Rd', ' Ste 101', 'QcUKFdAWxFq42-zE96cS-A', 'Mediterranean; Restaurants; Breakfast & Brunch; Fast Food; Middle Eastern; Sandwiches']
